post_content,trend,Likes,Shares,Comments
real madrid lose ronaldo returns suspension,Low Trending,776,26,342
israeli student killed australia video sister,Highly Trending,927,77,278
asks nations traveler data face sanctions,Highly Trending,971,15,404
sun pharma profit falls cr december quarter,Highly Trending,807,58,283
jet airways seeks stay loans ease cash crunch reports,Low Trending,797,17,430
bbm message read evidence delhi hc asks centre,Moderately Trending,855,191,403
suicide bomber kills nigeria mosque attack,Low Trending,692,10,436
unlike live work piyush goyal rahul,Low Trending,743,51,405
yahoo reveals billion users accounts hacked,Low Trending,879,75,302
youths gangrape yearold girl make video incident,Low Trending,771,0,253
water supply ghaziabad noida disrupted temporarily,Low Trending,720,54,315
vijay mallya granted bail hours arrest,Low Trending,999,10,491
tharoor shares fake letter university rejecting einstein,Moderately Trending,818,75,473
captain opts bat st st time ipl games,Low Trending,582,26,444
gave screen test years just andhadhun ayushmann,Low Trending,831,44,352
bluefin tuna sells cr worlds largest fish market,Moderately Trending,953,77,469
flight passenger spots man texting sex abuse kids,Low Trending,715,69,401
mea says confirmation michels extradition reports,Low Trending,742,37,334
selfie maine le li aaj written swami om,Low Trending,828,7,273
killed injured plane skids runway russia,Low Trending,706,65,308
ariana grande broken terror attack uk concert,Moderately Trending,768,56,494
australian children stealing aviation fuel sniffing,Moderately Trending,812,94,402
slapped man touched thighs tv actress pankhuri,Highly Trending,930,76,483
uber remove surge pricing delhi oddeven scheme,Highly Trending,820,63,495
trumps roll nuclear deal benefits iran,Low Trending,951,51,329
trump putins faces morphed times latest cover,Moderately Trending,952,179,404
unfortunate arent able respect armed forces minister,Moderately Trending,827,147,320
people arrested delhi running fake crypto scheme,Low Trending,720,101,324
rss role yogi adityanaths appointment naidu,Moderately Trending,929,175,428
mangaluru airport named indias cleanest airport,Highly Trending,963,34,492
softbank bn bn investment flipkart,Moderately Trending,947,86,290
thefts reported trains years railways data,Moderately Trending,864,104,279
ban momos cause lifethreatening diseases bjp leader,Moderately Trending,685,180,369
indian guilty using fake identity citizenship,Low Trending,837,14,343
worker near fax machine eid jk guv mufti,Low Trending,584,124,313
defence secy lays wreath amar jawan jyoti,Moderately Trending,980,57,463
responsibility stop terror pak china,Low Trending,873,48,355
second ausindia ti abandoned ti result aus,Low Trending,822,45,232
pakistan gets school transgender community,Moderately Trending,906,143,446
lawyer people cji,Moderately Trending,911,128,319
mt everest named indias surveyorgeneral,Moderately Trending,946,159,466
sc verdict license people affairs dcw,Low Trending,765,68,354
kaurs supernovas beat trailblazers oneoff womens t,Moderately Trending,929,100,406
india allow internet flights august report,Low Trending,767,114,274
samajwadi party needs coalition mulayam singh,Low Trending,697,69,399
couple gets married supermarket met,Low Trending,978,17,378
aap defunct punjab need alliance punjab cm,Low Trending,740,59,425
isro founder vikram sarabhai brought cable tv india,Moderately Trending,900,116,267
man spends lakh zimbabwe google street view,Highly Trending,936,152,439
pulitzer prize winners announced,Moderately Trending,899,110,431
amu suspends holding prayer meet slain hizb militant,Highly Trending,790,34,356
free hugs protest wb couple thrashed hugging,Low Trending,697,45,353
anmol ambani joins boards reliance nippon reliance home,Low Trending,820,37,259
explain delay action sena mp air india police,Moderately Trending,597,128,476
harbhajan shares photo jonty rhodes daughters,Low Trending,721,98,322
ct semifinalists nation ruled th big b,Low Trending,779,35,303
rules shouldnt suit new entrants ambition vodafone ceo,Moderately Trending,883,98,393
india slams pakistan mistreatment sikh cop,Low Trending,648,61,499
ec rejects cyber experts claim evm hacking polls,Low Trending,781,5,478
fossils humansized penguin new zealand,Low Trending,666,17,289
sp choose party chief sept akhilesh,Moderately Trending,880,107,488
hc rejects vedantas plea export crude barmer oilfield,Low Trending,840,19,470
hurry sanya,Highly Trending,915,20,369
india key partner indopacific region admin,Moderately Trending,812,147,438
anushkas pic appeared movie years debut,Low Trending,606,52,358
sc seeks centres reply ways tackle mananimal conflict,Moderately Trending,850,104,332
left unity wins seats jnu students union elections,Moderately Trending,716,131,321
aap leader burnt alive alleged boyfriend blackmailed,Low Trending,606,76,314
india remain rd largest beef exporter report,Low Trending,628,124,296
neil nitin mukesh announces wife rukminis pregnancy,Moderately Trending,864,190,446
global iot security spending reach bn report,Highly Trending,912,11,249
children driver killed bus falls gorge himachal,Moderately Trending,639,142,310
airbus takes majority stake bombardier jet project,Low Trending,673,79,402
nobel laureate chief kofi annan passes away,Low Trending,679,105,204
increase new taxpayers note ban,Moderately Trending,919,159,487
ican initially thought nobel peace prize win prank,Low Trending,939,31,315
health min stops cavalcade ensure passage ambulance,Low Trending,685,56,287
private doctors indefinite strike bengaluru,Highly Trending,876,33,464
video shows robot opening door despite human stopping,Low Trending,887,29,253
union minister uma bharti contest elections future,Highly Trending,981,18,302
trump loses lakh followers amid twitter crackdown,Low Trending,998,23,286
dept launches instant epan based aadhaar,Moderately Trending,854,100,444
like diwali gambling aamir khan,Moderately Trending,886,111,463
got final season heartbreaking missandei actress,Low Trending,466,5,491
man hides suitcase robs flyers luggage bus trip,Moderately Trending,707,121,303
dream work karan johar vicky kaushal,Low Trending,667,21,316
venezuelan prez offers help trump fight drug trafficking,Low Trending,868,72,223
paying bank dues despite high fuel prices jet airways,Moderately Trending,964,167,395
minor boy killed sexually assaulted near delhi,Low Trending,586,101,331
mumbai civic body collects tonnes plastic ban,Moderately Trending,868,115,463
women including congress leader dead,Moderately Trending,793,104,342
wrong condoling death local militants pdp,Moderately Trending,733,77,437
zomato cfo sameer maheshwary quits months joining,Highly Trending,962,62,407
bangladesh player imitates umpire post successful drs review,Low Trending,740,67,291
haryana bjp chiefs son arrested chandigarh stalking case,Low Trending,957,49,351
films stay forever shraddha yrs aashiqui,Moderately Trending,706,121,367
yogi adityanath gets zplus category vvip security cover,Low Trending,747,78,271
aap gives pm lakh letters seeking statehood delhi,Highly Trending,901,44,424
stokes called real hero gay couple defended pub,Moderately Trending,890,138,474
australia senator seeking burqa ban wears parliament,Low Trending,906,41,251
dawood ibrahims property mumbai auctioned crore,Low Trending,923,66,367
intel unveils flying car km range,Low Trending,952,58,352
tharoor gets condolence calls shashi kapoors death,Low Trending,780,71,351
trains delayed station master gets drunk falls asleep,Moderately Trending,666,152,383
seat sharing discussed appropriate time akhilesh,Highly Trending,904,45,189
stop working actors dating rumour fernandez,Low Trending,847,6,338
newborns die months karnataka hospital,Moderately Trending,849,71,468
opposition parties submit impeachment motion cji,Low Trending,587,3,207
high court asks maha govt pay l man wrongly arrested,Highly Trending,847,34,309
man caught using gadget hide licence plate spain,Highly Trending,805,33,320
indias richest tech entrepreneurs,Moderately Trending,952,111,447
ab villiers ball helps rcb thrash dd wickets,Low Trending,783,57,316
air india great brand spicejet,Low Trending,874,65,204
samson fails yoyo test left india team reports,Low Trending,757,58,321
relationship india second country russia,Low Trending,522,37,209
true anurag denies rumours gangs wasseypur,Low Trending,669,103,316
maharashtra approves maratha quota seats reserved,Highly Trending,854,108,397
pakistan pm reaches office sunday post morning workout,Highly Trending,973,89,369
yrold cryptocurrency traders stock months,Low Trending,745,38,428
exharyana cm named cbi chargesheet manesar land scam,Low Trending,856,30,368
recommend jayalalithaa nobel prize aiadmk leader,Low Trending,858,88,368
proposal end net neutrality threat apple cofounder,Low Trending,753,2,470
indian millionaires accused multicrore frauds,Moderately Trending,917,183,444
indians working qatar wc stranded pay,Moderately Trending,951,188,354
yogi adityanath sworn cm deputy cms,Low Trending,878,0,358
dhoni state guest himachal cm players shimla trip,Low Trending,800,46,365
punjab govt approves luxury vehicles cm ministers,Moderately Trending,908,174,450
cofounder buy dairytech startup mrmilkman,Low Trending,762,13,405
girl donates fund collected heart surgery kerala,Low Trending,959,38,292
mps son delhi t team playing match year,Low Trending,636,14,366
pilots using planes draw designs sky,Moderately Trending,771,150,456
rihanna mike shinoda condole death linkin parks chester,Low Trending,679,41,456
kerala temple hosts iftar party muslims premises,Low Trending,942,23,435
man killed coworker smelly feet jailed years,Low Trending,748,25,438
woman drinks wine pringles box drives cart banned walmart,Moderately Trending,949,94,458
reliance jio adds times users rivals july,Highly Trending,848,4,197
woman commits suicide killing mentally challenged sons,Low Trending,745,29,356
usain bolt fails finish race career,Moderately Trending,955,164,380
police book priests rape kerala church sex scandal,Moderately Trending,970,56,389
supreme court adjudicate leander rhea pillai dispute,Moderately Trending,714,143,247
fda recalls half million pacemakers risk hack,Low Trending,480,27,295
crore cash seized house tn minister,Moderately Trending,653,111,368
hijacked indian ship rescued pirates flee hostages,Moderately Trending,717,197,321
extremists attend neonazi rally berlin,Low Trending,907,3,210
tesla settles lawsuit unusable autopilot mn,Low Trending,740,55,494
music streaming service gaana raises mn led tencent,Low Trending,792,9,497
kohli raise county crickets standard rcb pacer woakes,Low Trending,580,31,315
goalkeeper scores yard goal half birthday,Low Trending,833,0,438
tabled lok sabha mps mlas recalled years voted satisfied performance tabled bjp mp varun gandhi ifpeople havepower elect representatives power remove gandhi said,Low Trending,814,60,461
apple unveils robot recycles iphones,Highly Trending,869,41,468
pandya started celebrating rohits,Highly Trending,793,12,231
rohit overtakes sachin record scores odi cricket,Low Trending,812,3,391
took homemade food kapil college kapils fiance,Low Trending,912,30,444
exnagaland cm declared elected unopposed polls,Moderately Trending,885,148,449
singapore airport rated worlds best mumbai ranked rd,Highly Trending,969,76,384
charges dropped srk alibaug benami property case,Low Trending,895,49,184
trump aide apologises trudeau place hell remark,Moderately Trending,939,143,487
india china sign security cooperation agreement,Highly Trending,914,9,488
rejected bwood films asked act turban diljit,Moderately Trending,944,88,358
nobel committee slams china liu xiaobos death,Low Trending,742,3,386
itc indias th valued firm market cap,Low Trending,889,13,154
kannada film director madan arrested allegedly kidnapping paramesh owner advertising agency paramesh paid lakh promoting madans film eradu kanasu madan asked paramesh return lakh unhappy agencys work kidnapping paramesh madan demanded ransom family,Moderately Trending,934,117,426
black radio host accused white privilege debate,Moderately Trending,931,187,478
tesla recalls l cars power steering bolts corrosion,Low Trending,782,11,382
afghan man leaves delhi airport indian visa,Moderately Trending,806,165,409
apple fixes bug caused iphones crash text,Moderately Trending,642,193,382
ganguly dressed sardarji attend durga puja,Low Trending,759,59,403
scientists edit brain activity using holograms,Low Trending,639,21,435
refuse role female costar isnt paid benedict,Low Trending,474,24,350
philippine prez calls major media outlets sons whore,Low Trending,680,25,332
keralas oldest student commonwealth learning ambassador,Low Trending,871,11,244
arvind subramanian proposes k basic income rural households,Moderately Trending,914,101,396
india real deal theyre team exaus captain border,Low Trending,744,1,413
teen stabbed death school groups fight girl,Highly Trending,835,73,349
player angry subbed calms coach kisses,Low Trending,777,30,383
asked days did rahul loan waivers,Low Trending,766,33,393
drunk men try enter girls hostel du college,Moderately Trending,824,111,349
modis policies space terrorists kashmir rahul,Low Trending,595,6,447
yeh modi lehar nahi evm lehar hai aap mcd polls results,Moderately Trending,960,154,472
scientists dig traces yrold cheese croatia,Low Trending,630,0,426
commuters push tonne train rescue woman,Low Trending,954,11,275
family delhi man killed muslim lovers kin hosts iftar,Highly Trending,988,93,448
shouldnt pak dollar acts terror haley,Moderately Trending,746,113,446
school founder held raping girl students maharashtra,Moderately Trending,884,96,453
russian man chops wifes hand asks divorce,Moderately Trending,964,104,359
captain virat kohli transformed dhonis career ganguly,Highly Trending,959,47,417
researchers hack atm discharge cash till,Low Trending,704,29,214
significance chipko movement,Highly Trending,896,66,407
