post_content,trend,Likes,Shares,Comments
men delhi police mistake sell minor arrested,Low Trending,959,190,302
save pm modi rafale probe rahul gandhi,Low Trending,805,174,345
nadal reason better player roger federer,Low Trending,917,185,317
northern ireland footballer filmed masturbating road friend,Highly Trending,928,156,74
bbm message read evidence delhi hc asks centre,Low Trending,855,191,403
bumrahs foot noball cancels paks fakhars dismissal,Highly Trending,735,177,387
muslim women protest triple talaq pune,Highly Trending,921,191,312
psychopath mom hp hotelier shot officer,Low Trending,534,175,403
proud new form low humour iphone autocorrect inventor,Highly Trending,804,147,273
indias wcwinning coach help pick bangladesh coach,Moderately Trending,918,166,249
aspirants allowed wear shoes hair pins neet exam,Highly Trending,924,146,172
krishna land theme park lines disneyland walkalator agra fort taj mahal projects proposed recent lucknow meeting cm yogi adityanath reportedly shown krishna land asking proposal soon proposals included hop hop bus service agra,Moderately Trending,839,139,376
pictures cyclone debbie strikes australia,Low Trending,799,199,194
indian evms better ones used nations,Highly Trending,464,183,86
nipah virus contained need run mos,Moderately Trending,945,176,202
sachin biopic taxfree release states,Highly Trending,892,197,220
sushant responds fan asking physics teacher,Highly Trending,700,179,266
trump putins faces morphed times latest cover,Low Trending,952,179,404
unfortunate arent able respect armed forces minister,Low Trending,827,147,320
people arrested delhi running fake crypto scheme,Moderately Trending,720,101,324
rss role yogi adityanaths appointment naidu,Low Trending,929,175,428
saif daughter sara play fatherdaughter film reports,Low Trending,640,192,390
shocked hurt icicis decision truth prevail kochhar,Highly Trending,681,194,149
ban momos cause lifethreatening diseases bjp leader,Low Trending,685,180,369
air force hosts hackathon pays finding bugs,Highly Trending,975,185,51
people shot dead clash parking haryana village,Moderately Trending,931,159,417
messis th minute curler saves barcas unbeaten streak,Moderately Trending,959,143,276
new zealand mulls creating climate change refugee visas,Highly Trending,684,151,120
remove word muslim aligarh muslim university bjp mp,Moderately Trending,700,141,293
pakistan gets school transgender community,Moderately Trending,906,143,446
paid campaigners used metoo movement burst sushant,Low Trending,679,152,236
krk calls salman khan lallu joker tubelight trailer,Highly Trending,620,191,205
lawyer people cji,Moderately Trending,911,128,319
mt everest named indias surveyorgeneral,Low Trending,946,159,466
researchers create selfhealing material robot skin,Moderately Trending,981,168,361
yearold indian boxer defeats olympic champion,Highly Trending,937,185,39
prisoner shows jail rotis court gets permission home food,Low Trending,745,168,377
sc orders floor test karnataka assembly tomorrow pm,Highly Trending,981,173,93
kenyan woman offered lift gangraped haryana,Highly Trending,562,137,135
man spends lakh zimbabwe google street view,Highly Trending,936,152,439
thailand raids temples arrests monks clean buddhism,Highly Trending,894,179,155
pulitzer prize winners announced,Moderately Trending,899,110,431
congress attend midnight gst launch june,Highly Trending,891,174,91
sabarimala shut purification entry women,Highly Trending,882,136,2
telangana cm work coolie bear cost partys meet,Highly Trending,614,167,112
zuckerberg integrate whatsapp instagram messenger nyt,Low Trending,797,189,275
harbhajan shares photo jonty rhodes daughters,Moderately Trending,721,98,322
world afraid nuclear war north korea chief,Highly Trending,907,187,315
sp choose party chief sept akhilesh,Moderately Trending,880,107,488
families missing indians iraq asked dna samples,Highly Trending,885,170,242
india key partner indopacific region admin,Moderately Trending,812,147,438
abusing scst person phone public offence sc,Low Trending,684,171,235
birthday selfie virat exengland captain pic goat,Low Trending,615,176,418
left unity wins seats jnu students union elections,Low Trending,716,131,321
adjusting new role wont big deal new sbi chief,Highly Trending,791,185,147
neil nitin mukesh announces wife rukminis pregnancy,Low Trending,864,190,446
terror attacks asian nations report,Moderately Trending,833,112,190
children driver killed bus falls gorge himachal,Low Trending,639,142,310
kumble wants captaincy fee player salary structure,Low Trending,715,177,330
japan railway lets cats roam train raise awareness,Highly Trending,665,198,47
nasa image shows shockwaves caused supersonic aircraft,Moderately Trending,659,133,244
