Platform,Post Timestamp,Likes,Shares,Comments,Engagement Rate,post_content,description
Instagram,12:54.0,565,18,129,25.96,vistara start hiring male cabin crew,vistara announced plans hire male cabin crew flights airline presently employs females cabin crew vistara official said equalopportunity employer plans mixed cabin crew vistara indigo domestic carrier recruits women cabin crew jobsnn
Instagram,48:32.9,531,139,460,27.78,pm modi launches indiaportugal international startup hub,pm narendra modi recent visit portugal launched indiaportugal international startup hub portuguese counterpart antonio costa strengthen connection startup ecosystem countries accessible app information subjects including government initiatives policy tax visa process
Instagram,27:05.8,241,170,409,29.91,hot steamy atmosphere detected earthlike water world,ukbased astronomers evidence atmosphere hot steam earthlike planet circles red dwarf star planet gj b lies lightyears away vela constellation exoplanet surface temperatures c habitable possible water world hot steamy atmosphere astronomers said
Instagram,47:03.7,244,186,156,12.1,use bullets remove bjp chhattisgarh cong mla,congress mla ram dayal uike chhattisgarhs village said sticks bullets used throw bjp power state required defending uike chhattisgarh congress chief pl punia said uike meant party strength dislodge bjp government used words sticks bullets idiomatically
Instagram,03:04.2,959,190,302,37.2,men delhi police mistake sell minor arrested,delhi police thursday said rescued minor girl arrested men trying sell brothel owners delhi accused called sho mistaking brothel owner tried selling girl sho immediately posed brothel owner laid trap nab accused
Facebook,01:31.4,805,174,345,92.59,save pm modi rafale probe rahul gandhi,congress president rahul gandhi tuesday said save prime minister narendra modi rafale investigation added entire nation know shadow doubt taken crore peoples money given friend anil ambani rahuls comment came day sc reinstated cbi director alok verma
Twitter,16:50.1,441,131,155,45.69,poore mulk nafrat aur zulm ka bekhauf naach jari hai naseeruddin,video released amnesty india actor naseeruddin shah says poore mulk nafrat aur zulm ka bekhauf naach jari hai adding opposing suppressed dreamt country space dissent rich powerful heard poorest vulnerable forever oppressed asks naseeruddin
Facebook,12:05.8,553,86,144,48.24,defender scores goal chipping goalie metres,chelsea loanee fankaty dabo scored goal chipping goalkeeper metres away netherlands tier league sunday yearold defender decided ball goalkeeper closed opponent reacting user tweeted dont coming chelsea anytime soon
Twitter,57:33.7,221,17,222,9.62,indias underwater tunnel finished ahead schedule,indias underwater tunnel built hooghly river establishing metro link kolkata completed deadline giant tunnelboring machine deployed dig underwater tunnel runs length metres river job completed month days ahead schedule
Instagram,32:50.9,33,94,396,25.31,softbank invest bn paytm pick stake reports,japans softbank group likely billion crore paytms parent company communications according reports funding likely value paytm billion softbank pick stake payments firm reports added earlier reports stated softbank invest billion paytm
Instagram,42:27.9,440,104,319,78.03,man held sharing intimate pics girlfriend whatsapp,software engineer hyderabad arrested sunday allegedly sharing intimate pictures videos girlfriend friends whatsapp man arrested basis complaint filed woman came know action relative informed pictures videos circulated whatsapp
Twitter,55:41.8,65,137,381,11.86,lakhan singer mohammed aziz passes away aged,singer mohammed aziz passed away aged following cardiac arrest mumbai tuesday singers daughter sana aziz said returning kolkata collapsed airport aziz did playback singing hindi bengali odia films known songs like lakhan mard tangewala main teri mohabbat mein
